wk,tr,nc,stg
8,1112199,0,1
9,1112199,0,1
10,1112199,0,1
11,1112199,0,1
12,1112199,1,1
13,1112199,0,1
14,1112199,0,1
15,1112199,0,1
16,1112199,0,1
17,1112199,0,1
18,1112199,0,1
19,1112199,0,1
20,1112199,0,1
21,1112199,0,1
22,1112199,0,1
23,1112199,10,1
24,1112199,5,1b
25,1112199,4,2
26,1112199,0,2
27,1112199,4,1b
28,1112199,3,1b
29,1112199,0,1
30,1112199,1,1
31,1112199,0,1
32,1112199,0,1
33,1112199,1,1
34,1112199,2,1
35,1112199,0,1
36,1112199,1,1
37,1112199,10,1b
38,1112199,9,2
39,1112199,12,2
40,1112199,2,2
41,1112199,1,1b
42,1112199,0,1b
43,1112199,0,1
44,1112199,0,1
45,1112199,1,1
46,1112199,0,1
47,1112199,0,1
48,1112199,0,1
49,1112199,1,1
50,1112199,0,1
51,1112199,0,1
52,1112199,0,1
53,1112199,39,1
54,1112199,48,1
55,1112199,105,1
56,1112199,166,1
57,1112199,200,1
58,1112199,212,1
59,1112199,208,1
60,1112199,428,1
61,1112199,520,1
62,1112199,352,1
63,1112199,228,1
64,1112199,272,1
65,1112199,128,1
66,1112199,132,1
67,1112199,192,1
68,1112199,308,1
69,1112199,384,1
70,1112199,348,1
71,1112199,356,1
72,1112199,320,1
73,1112199,164,1
74,1112199,96,1
75,1112199,96,1
76,1112199,88,1
77,1112199,107,1
78,1112199,112,1
79,1112199,128,1
80,1112199,76,1
81,1112199,164,1
82,1112199,268,1
83,1112199,228,1
84,1112199,224,1
85,1112199,328,1
86,1112199,508,1
87,1112199,624,1
88,1112199,656,1
89,1112199,656,1
90,1112199,672,1
91,1112199,224,1
92,1112199,208,1
93,1112199,344,1
94,1112199,280,1
95,1112199,216,1
96,1112199,204,1
97,1112199,336,1
98,1112199,196,1
99,1112199,248,1
100,1112199,132,1
101,1112199,192,1
102,1112199,280,1
103,1112199,316,1
104,1112199,484,1
0,1167312,0,1
1,1167312,1,1
2,1167312,0,1
3,1167312,0,1
4,1167312,0,1
5,1167312,0,1
6,1167312,0,1
7,1167312,0,1
8,1167312,0,1
9,1167312,0,1
10,1167312,0,1
11,1167312,0,1
12,1167312,0,1
13,1167312,0,1
14,1167312,0,1
15,1167312,0,1
16,1167312,0,1
17,1167312,2,1
18,1167312,1,1
19,1167312,1,1
20,1167312,0,1
21,1167312,0,1
22,1167312,0,1
23,1167312,0,1
24,1167312,0,1
25,1167312,0,1
26,1167312,0,1
27,1167312,0,1
28,1167312,0,1
29,1167312,0,1
30,1167312,1,1
31,1167312,0,1
32,1167312,1,1
33,1167312,0,1
34,1167312,0,1
35,1167312,0,1
36,1167312,0,1
37,1167312,0,1
38,1167312,0,1
39,1167312,0,1
40,1167312,0,1
41,1167312,1,1
42,1167312,1,1
43,1167312,0,1
44,1167312,1,1
45,1167312,0,1
46,1167312,0,1
47,1167312,0,1
48,1167312,1,1
49,1167312,0,1
50,1167312,1,1
51,1167312,0,1
52,1167312,0,1
53,1167312,51,1
54,1167312,87,1
55,1167312,98,1
56,1167312,107,1
57,1167312,215,1
58,1167312,244,1
59,1167312,216,1
60,1167312,172,1
61,1167312,272,1
62,1167312,396,1
63,1167312,528,1
64,1167312,704,1
65,1167312,848,1
66,1167312,816,1
67,1167312,864,1
68,1167312,1632,1
69,1167312,1568,1
70,1167312,3056,1b
71,1167312,4672,2
72,1167312,3520,3
73,1167312,2176,4
74,1167312,960,4
75,1167312,1184,3
76,1167312,992,3
77,1167312,400,2
78,1167312,256,2
79,1167312,152,1b
80,1167312,180,1b
81,1167312,168,1
82,1167312,128,1
83,1167312,152,1
84,1167312,72,1
85,1167312,87,1
86,1167312,102,1
87,1167312,156,1
88,1167312,176,1
89,1167312,252,1
90,1167312,424,1
91,1167312,404,1
92,1167312,628,1
93,1167312,672,1
94,1167312,672,1
95,1167312,1424,1
96,1167312,656,1
97,1167312,384,1
98,1167312,224,1
99,1167312,304,1
100,1167312,140,1
101,1167312,112,1
102,1167312,164,1
103,1167312,124,1
104,1167312,108,1
0,1573655,0,1
1,1573655,1,1
2,1573655,0,1
3,1573655,1,1
4,1573655,0,1
5,1573655,0,1
6,1573655,0,1
7,1573655,0,1
8,1573655,0,1
9,1573655,1,1
10,1573655,1,1
11,1573655,0,1
12,1573655,0,1
13,1573655,0,1
14,1573655,0,1
15,1573655,0,1
16,1573655,0,1
17,1573655,0,1
18,1573655,0,1
19,1573655,0,1
20,1573655,0,1
21,1573655,0,1
22,1573655,0,1
23,1573655,0,1
24,1573655,0,1
25,1573655,1,1
26,1573655,0,1
27,1573655,1,1
28,1573655,0,1
29,1573655,0,1
30,1573655,0,1
31,1573655,0,1
32,1573655,1,1
33,1573655,1,1
34,1573655,0,1
35,1573655,0,1
36,1573655,2,1
37,1573655,0,1
38,1573655,0,1
39,1573655,1,1
40,1573655,0,1
41,1573655,0,1
42,1573655,0,1
43,1573655,0,1
44,1573655,1,1
45,1573655,0,1
46,1573655,0,1
47,1573655,0,1
48,1573655,0,1
49,1573655,1,1
50,1573655,0,1
51,1573655,0,1
52,1573655,0,1
53,1573655,35,1
54,1573655,84,1
55,1573655,135,1
56,1573655,124,1
57,1573655,252,1
58,1573655,388,1
59,1573655,472,1
60,1573655,384,1
61,1573655,256,1
62,1573655,460,1
63,1573655,464,1
64,1573655,144,1
65,1573655,172,1
66,1573655,228,1
67,1573655,240,1
68,1573655,120,1
69,1573655,172,1
70,1573655,280,1
71,1573655,200,1
72,1573655,120,1
73,1573655,108,1
74,1573655,116,1
