wk,tr,nc,stg
100,1573655,4,1
101,1573655,0,1
102,1573655,0,1
103,1573655,0,1
104,1573655,0,1
0,1871354,0,1
1,1871354,0,1
2,1871354,0,1
3,1871354,0,1
4,1871354,0,1
5,1871354,0,1
6,1871354,0,1
7,1871354,0,1
8,1871354,0,1
9,1871354,0,1
10,1871354,0,1
11,1871354,0,1
12,1871354,1,1
13,1871354,0,1
14,1871354,0,1
15,1871354,0,1
16,1871354,1,1
17,1871354,0,1
18,1871354,0,1
19,1871354,0,1
20,1871354,1,1
21,1871354,0,1
22,1871354,2,1
23,1871354,7,1
24,1871354,1,1b
25,1871354,1,1b
26,1871354,0,1
27,1871354,0,1
28,1871354,1,1
29,1871354,3,1
30,1871354,1,1
31,1871354,0,1
32,1871354,0,1
33,1871354,0,1
34,1871354,0,1
35,1871354,0,1
36,1871354,1,1
37,1871354,1,1
38,1871354,15,1
39,1871354,11,1
40,1871354,3,1
41,1871354,0,1
42,1871354,1,1
43,1871354,0,1
44,1871354,0,1
45,1871354,0,1
46,1871354,1,1
47,1871354,0,1
48,1871354,1,1
49,1871354,0,1
50,1871354,0,1
51,1871354,0,1
52,1871354,0,1
53,1871354,0,1
54,1871354,0,1
55,1871354,0,1
56,1871354,0,1
57,1871354,0,1
58,1871354,0,1
59,1871354,0,1
60,1871354,0,1
61,1871354,0,1
62,1871354,1,1
63,1871354,0,1
64,1871354,0,1
65,1871354,0,1
66,1871354,0,1
67,1871354,2,1
68,1871354,1,1
69,1871354,0,1
70,1871354,0,1
71,1871354,0,1
72,1871354,0,1
73,1871354,0,1
74,1871354,0,1
75,1871354,0,1
76,1871354,0,1
77,1871354,0,1
78,1871354,0,1
79,1871354,0,1
80,1871354,0,1
81,1871354,0,1
82,1871354,0,1
83,1871354,0,1
84,1871354,0,1
85,1871354,0,1
86,1871354,1,1
87,1871354,0,1
88,1871354,0,1
89,1871354,0,1
90,1871354,0,1
91,1871354,1,1
92,1871354,4,1
93,1871354,1,1
94,1871354,0,1
95,1871354,0,1
96,1871354,0,1
97,1871354,1,1
98,1871354,0,1
