"stage","R0","R"
"1","2.5",1.48439416416973
"1","2.5",1.49863417186007
"1","2.5",1.4473631036573
"1","2.5",1.53974241526109
"1","2.5",1.75191270646976
"1","2.5",1.76891402061232
"1","2.5",1.15242798353909
"1","2.5",1.51986388097499
"1","2.5",1.78193617095196
"1","2.5",1.73791747774807
"1","2.5",1.49203669774209
"1","2.5",1.34788664889315
"1","2.5",1.67193621619314
"1","2.5",1.50467262844252
"1","2.5",1.77302246815688
"1","2.5",1.66441839795957
"1","2.5",1.74513859180229
"1","2.5",1.21394254050171
"1","2.5",1.94163900605172
"1","2.5",1.3711191961192
"1","2.5",1.24355736073436
"1","2.5",1.42552159767337
"1","2.5",1.5927634241625
"1","2.5",1.61283068943888
"1","2.5",1.37147342228871
"1","2.5",1.54844686875416
"1","2.5",1.74673604388433
"1","2.5",1.86814537026858
"1","2.5",1.73824473887641
"1","2.5",1.48154093097913
"1","2.5",1.47139076016081
"1","2.5",1.70944691820951
"1","2.5",1.18303600044687
"1","2.5",1.40528115159694
"1","2.5",1.4748157718442
"1","2.5",1.84812730558367
"1","2.5",1.50292740046838
"1","2.5",1.8307717421897
"1","2.5",1.59691274844318
"1","2.5",1.60980731225296
"1","2.5",1.32272372862491
"1","2.5",1.61889048171295
"1","2.5",1.58434449918808
"1","2.5",1.82051680652187
"1","2.5",1.66176656131957
"1","3.125",2.04060393395961
"1","3.125",2.00190831832062
"1","3.125",1.6028045627854
"1","3.125",2.12652137565198
"1","3.125",2.10914662127407
"1","3.125",2.23639803630673
"1","3.125",2.09642065448806
"1","3.125",2.0519168241709
"1","3.125",2.06574225819936
"1","3.125",2.0388015206771
"1","3.125",1.9062184086331
"1","3.125",2.34133174909385
"1","3.125",1.8885238739461
"1","3.125",1.9849835144109
"1","3.125",1.62427019121069
"1","3.125",2.25971382043766
"1","3.125",1.97933405503496
"1","3.125",1.66777211516599
"1","3.125",1.91782339317499
"1","3.125",1.81267468382343
"1","3.125",2.77097247630883
"1","3.125",1.95426633713221
"1","3.125",1.975277535287
"1","3.125",1.94574148305261
"1","3.125",1.73259417852217
"1","3.125",1.83735177207613
